Filename,BPM,Key
17752861_Donkers_(Original Mix).mp3,[161.49902344],8
17440571_Eat Sleep Rave Repeat_(Original Mix).mp3,[143.5546875],9
17791537_Sweating on the Dancefloor_(Original Mix).mp3,[151.99908088],9
17576432_All The Things_(Original Mix).mp3,[83.35433468],8
17951242_The Ladies Gon Feel Me_(Original Mix).mp3,[151.99908088],6
17536420_1vs1 (Joann remix) feat. Joann_(Original Mix).mp3,[151.99908088],6
17951244_Everytime I_m In The Streets_(Original Mix).mp3,[151.99908088],6
17788126_GATE_(Original Mix).mp3,[123.046875],5
17564479_KOKA_(Original Mix).mp3,[123.046875],8
17588819_Sitar_(Original Mix).mp3,[123.046875],2
17944376_Who Was In Paris__(Original Mix).mp3,[151.99908088],7
17646318_Mini Skirt On_(Original Mix).mp3,[151.99908088],7
17880959_Fuck This_(Original Mix).mp3,[151.99908088],10
"17863930_Music, Baby_(Original Mix).mp3",[151.99908088],4
18420294_Got That Booty_(Extended Mix).mp3,[161.49902344],5
18222120_It_s That Time (Dimension Remix)_(Original Mix).mp3,[172.265625],5
17843367_Push Up (Club Version)_(Club Version).mp3,[161.49902344],7
17810954_The Ultimate Sex Track_(Original Mix).mp3,[107.66601562],5
16149902_Own Methods (Extented Mix)_(Original Mix).mp3,[151.99908088],9
17420303_Anxiete_(Original Mix).mp3,[143.5546875],9
17757614_Fearless_(Phoenix Movement Remix).mp3,[129.19921875],8
17985216_Spring Girl_(Extended).mp3,[123.046875],7
18081983_T.O.K.Y.O._(Extended Mix).mp3,[135.99917763],3
17997183_My Gasoline_(Extended Mix).mp3,[143.5546875],6
17923279_Fine Day Anthem_(Extended Mix).mp3,[135.99917763],6
17399872_Ashika_(Original Mix).mp3,[151.99908088],6
17399873_RavPower_(Original Mix).mp3,[151.99908088],7
17723361_F_CK THE POLICE_(Original Mix).mp3,[151.99908088],5
17558154_Ride or Die_(Original Mix).mp3,[143.5546875],9
17906546_Black Magic_(Extended Mix).mp3,[143.5546875],8
17477194_Boom Boom Boom_(Extended Mix).mp3,[161.49902344],8
17446613_Hybrid Boom_(Original Mix).mp3,[151.99908088],8
17399871_Brembo_(Original Mix).mp3,[151.99908088],7
17588048_Believer_(Original Mix).mp3,[129.19921875],7
