ID,Artist,Title,Genre,Location,Duration,Bitrate,Samplerate,Cuepoint,BPM,Wave Summary,Channels,Date Added,Mixxx Deleted,Played,Header Parsed,Filetype,Replaygain,Times Played,Rating,Key,Beats,Beats Version,BPM Lock,Beats Sub Version,Keys,Keys Version,Keys Sub Version,Key ID,Grouping,Replaygain Peak,Track Total,Color,Last Played At,Source Synchronized MS,Energy,Mood
1,Loopmasters,Demo Track 1,,1,172.434285714,320,44100,1298.0,128.0,,2,2024-09-01T10:11:25.185Z,0,0,1,mp3,0.4987773411882091,0,0,Fm,b'\n\t\t\x00\x00\x00\x00\x00\x00`@\x12\x03\x08\xb0U',BeatGrid-2.0,0,rounding=V4|vamp_plugin_id=qm-tempotracker:0,b'\x08\x12\x1a\x06\x08\x80\x80\x01\x10\x12\x1a\x06\x08\x80\x80\r\x10\x17\x1a\x07\x08\x80\x80\xbd\x01\x10\x12\x1a\x07\x08\x80\x80\xd9\x02\x10\x17\x1a\x07\x08\x80\x80\xf1\x02\x10\x12 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,18,,-1.0,,,,1527269814000,Medium,Somber
2,Loopmasters,Demo Track 2,,2,128.052244897,320,44100,28.0,120.0,,2,2024-09-01T10:11:25.185Z,0,0,1,mp3,0.8674025701854152,0,0,Fm,b'\n\t\t\x00\x00\x00\x00\x00\x00^@\x12\x03\x08\xfa\x03',BeatGrid-2.0,0,rounding=V4|vamp_plugin_id=qm-tempotracker:0,b'\x08\x12\x1a\x06\x08\x80\x80\x01\x10\x02\x1a\x06\x08\x80\x80!\x10\r\x1a\x06\x08\x80\x80C\x10\x12\x1a\x06\x08\x80\x80}\x10\r\x1a\x07\x08\x80\x80\x83\x01\x10\x12\x1a\x07\x08\x80\x80\xeb\x01\x10\x02\x1a\x07\x08\x80\x80\x89\x02\x10\x12 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,18,,-1.0,,,,1527269810000,Low,Somber
3,,SNARE9,,3,0.706099773,2117,44100,156.0,0.0,,2,2024-09-01T10:11:25.186Z,0,0,1,wav,1.0668032625672008,0,0,Em,,,0,,b'\x08\x11\x1a\x06\x08\x80\x80\x01\x10\x11\x1a\x06\x08\xa3\xf3\x01\x10\x01 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,17,,-1.0,,,,1602147854000,Low,Somber
4,,SNARE8,,4,0.513514739,2117,44100,164.0,0.0,,2,2024-09-01T10:11:25.187Z,0,0,1,wav,0.8091405734804651,0,0,E♭,,,0,,b'\x08\x04\x1a\x06\x08\x80\x80\x01\x10\x04 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,4,,-1.0,,,,1602147924000,Low,Neutral
5,,CLAP,,5,0.770272108,2117,44100,126.0,0.0,,2,2024-09-01T10:11:25.189Z,0,0,1,wav,1.4337954042283545,0,0,Bm,,,0,,b'\x08\x18\x1a\x06\x08\x80\x80\x01\x10\x18\x1a\x06\x08\xb1\x89\x02\x10\x11 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,24,,-1.0,,,,1602147940000,Low,Somber
6,,CYMBAL,,6,2.054058956,2117,44100,144.0,0.0,,2,2024-09-01T10:11:25.189Z,0,0,1,wav,1.0070000310584613,0,0,F♯/G♭,,,0,,b'\x08\x07\x1a\x06\x08\x80\x80\x01\x10\x07 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,7,,-1.0,,,,1602147942000,Low,Neutral
7,,CLASH CYMBAL,,7,4.364875283,2117,44100,138.0,0.0,,2,2024-09-01T10:11:25.190Z,0,0,1,wav,0.8059857135962573,0,0,F♯/G♭,,,0,,b'\x08\x07\x1a\x06\x08\x80\x80\x01\x10\x07 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,7,,-1.0,,,,1602148066000,Low,Neutral
8,Loopmasters,SNARE,,8,1.838072562,2117,44100,82.0,0.0,,2,2024-09-01T10:11:25.192Z,0,0,1,wav,1.1185959382473936,0,0,F♯m,,,0,,b'\x08\x13\x1a\x06\x08\x80\x80\x01\x10\x13 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,19,,-1.0,,,,1602148976000,Low,Neutral
9,Loopmasters,BOOM DOWN LIFTER1,,9,4.9014965980000005,2117,44100,134.0,0.0,,2,2024-09-01T10:11:25.194Z,0,0,1,wav,1.4371029924041976,0,0,D,,,0,,b'\x08\x03\x1a\x06\x08\x80\x80\x01\x10\x01\x1a\x06\x08\x80\x80\x05\x10\x03\x1a\x06\x08\x80\x80\x0b\x10\x02 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,3,,-1.0,,,,1602148990000,Low,Happy
10,Loopmasters,BOOM DOWN LIFTER2,,10,9.292993197,1411,44100,606.0,140.0,,2,2024-09-01T10:11:25.196Z,0,0,1,wav,0.8826530716579452,0,0,F♯/G♭,b'\n\t\t\x00\x00\x00\x00\x00\x80a@\x12\x03\x08\x98r',BeatGrid-2.0,0,rounding=V4|vamp_plugin_id=qm-tempotracker:0,b'\x08\x07\x1a\x06\x08\x80\x80\x01\x10\x07\x1a\x06\x08\x80\x80\x03\x10\x03\x1a\x06\x08\x80\x80\t\x10\x07\x1a\x06\x08\x80\x80\x13\x10\x04\x1a\x06\x08\x80\x80\x15\x10\x07\x1a\x06\x08\x80\x80\x19\x10\x0f \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,7,,-1.0,,,,1602737212000,Medium,Neutral
11,Loopmasters,NOISE DOWN LIFTER1,,11,4.9014965980000005,2117,44100,54.0,0.0,,2,2024-09-01T10:11:25.197Z,0,0,1,wav,1.3814124587924952,0,0,B♭,,,0,,b'\x08\x0b\x1a\x06\x08\x80\x80\x01\x10\x01\x1a\x06\x08\x80\x80\x05\x10\x0b\x1a\x06\x08\x80\x80\x0b\x10\x07 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,11,,-1.0,,,,1602149070000,Low,Neutral
12,Loopmasters,NOISE DOWN LIFTER2,,12,5.207823129,2117,44100,114.0,0.0,,2,2024-09-01T10:11:25.198Z,0,0,1,wav,1.1564781442925218,0,0,Cm,,,0,,b'\x08\r\x1a\x06\x08\x80\x80\x01\x10\r\x1a\x06\x08\x80\x80\x05\x10\x11\x1a\x06\x08\x80\x80\x07\x10\r\x1a\x06\x08\x80\x80\x0b\x10\x0c\x1a\x06\x08\xa1\x82\x0e\x10\x05 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,13,,-1.0,,,,1602149074000,Low,Somber
13,Loopmasters,IMPACT KICK,,13,5.5141723350000005,2117,44100,176.0,0.0,,2,2024-09-01T10:11:25.199Z,0,0,1,wav,5.816361701141791,0,0,C,,,0,,b'\x08\x01\x1a\x06\x08\x80\x80\x01\x10\x0c\x1a\x06\x08\x80\x80\x07\x10\x01 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,1,,-1.0,,,,1602149076000,Low,Happy
14,Loopmasters,IMPACT SNARE,,14,5.629886621000001,2117,44100,10.0,0.0,,2,2024-09-01T10:11:25.200Z,0,0,1,wav,2.7447626774939726,0,0,E,,,0,,b'\x08\x05\x1a\x06\x08\x80\x80\x01\x10\x05\x1a\x06\x08\x80\x80\t\x10\r\x1a\x06\x08\x80\x80\x0b\x10\x05 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,5,,-1.0,,,,1602149080000,Low,Happy
15,Loopmasters,SHORT BOOM,,15,2.4658276640000003,2117,44100,72.0,0.0,,2,2024-09-01T10:11:25.201Z,0,0,1,wav,1.8571736274503368,0,0,F♯m,,,0,,b'\x08\x13\x1a\x06\x08\x80\x80\x01\x10\x14\x1a\x06\x08\x80\x80\x03\x10\x13 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,19,,-1.0,,,,1602149084000,Low,Neutral
16,,NEEDLE SCRATCH NOISE,,16,2.054058956,2117,44100,316.0,0.0,,2,2024-09-01T10:11:25.202Z,0,0,1,wav,2.092450539222697,0,0,Cm,,,0,,b'\x08\r\x1a\x06\x08\x80\x80\x01\x10\r\x1a\x06\x08\x80\x80\x03\x10\x04\x1a\x06\x08\x80\x80\x05\x10\r\x1a\x06\x08\xd8\xc3\x05\x10\x04 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,13,,-1.0,,,,1602148844000,Low,Somber
17,,HORN,,17,6.126825396,2117,44100,196.0,0.0,,2,2024-09-01T10:11:25.202Z,0,0,1,wav,2.374693081587645,0,0,D♯m/E♭m,,,0,,b'\x08\x10\x1a\x06\x08\x80\x80\x01\x10\x0b\x1a\x06\x08\x80\x80\x05\x10\x10 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,16,,-1.0,,,,1602148848000,Low,Neutral
18,,REWIND,,18,5.647074829,2117,44100,7690.0,0.0,,2,2024-09-01T10:11:25.203Z,0,0,1,wav,1.054083521505966,0,0,D♭,,,0,,b'\x08\x02\x1a\x06\x08\x80\x80\x01\x10\x02\x1a\x06\x08\x80\x80\r\x10\x03 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,2,,-1.0,,,,1602148854000,Low,Neutral
19,Loopmasters,SHORT BOOM,,19,2.7500226750000003,2117,44100,88272.0,0.0,,2,2024-09-01T10:11:25.204Z,0,0,1,wav,1.5053971673976596,0,0,Cm,,,0,,b'\x08\r\x1a\x06\x08\x80\x80\x01\x10\r \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,13,,-1.0,,,,1602149088000,Low,Somber
20,Loopmasters,LET'S GO,,20,3.789523809,2117,44100,176.0,0.0,,2,2024-09-01T10:11:25.205Z,0,0,1,wav,1.7822037255964158,0,0,E,,,0,,b'\x08\x05\x1a\x06\x08\x80\x80\x01\x10\x0e\x1a\x06\x08\x80\x80\x03\x10\x03\x1a\x06\x08\x80\x80\x05\x10\x05 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,5,,-1.0,,,,1602149124000,Low,Happy
21,,HORN,,21,7.599115646,2117,44100,0.0,246.0,,2,2024-09-01T10:11:25.206Z,0,0,1,wav,0.5584758209169646,0,0,D♯m/E♭m,b'\n\t\t\x00\x00\x00\x00\x00\xc0n@\x12\x03\x08\x99>',BeatGrid-2.0,0,rounding=V4|vamp_plugin_id=qm-tempotracker:0,b'\x08\x10\x1a\x06\x08\x80\x80\x01\x10\x0b\x1a\x06\x08\x80\x80\x05\x10\x10 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,16,,-1.0,,,,1441641386000,High,Neutral
22,,NOISE,,22,5.223492063,2117,44100,84.0,0.0,,2,2024-09-01T10:11:25.206Z,0,0,1,wav,0.5880810001730074,0,0,G,,,0,,b'\x08\x08\x1a\x06\x08\x80\x80\x01\x10\x08\x1a\x06\x08\x80\x80\t\x10\x14\x1a\x06\x08\x80\x80\x0b\x10\n\x1a\x06\x08\x80\x80\r\x10\x14\x1a\x06\x08\xd4\x87\x0e\x10\n \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,8,,-1.0,,,,1441641454000,Low,Happy
23,,SINEWAVE,,23,5.726258503,2117,44100,142.0,0.0,,2,2024-09-01T10:11:25.207Z,0,0,1,wav,0.3409757148752456,0,0,Am,,,0,,b'\x08\x16\x1a\x06\x08\x80\x80\x01\x10\x0f\x1a\x06\x08\x80\x80\x05\x10\x16 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,22,,-1.0,,,,1441641490000,Low,Somber
24,,SIREN,,24,7.336031746000001,2117,44100,182.0,0.0,,2,2024-09-01T10:11:25.208Z,0,0,1,wav,0.6722881913468945,0,0,E,,,0,,b'\x08\x05\x1a\x06\x08\x80\x80\x01\x10\n\x1a\x06\x08\x80\x80\x03\x10\x05\x1a\x06\x08\x80\x80\r\x10\n\x1a\x06\x08\x80\x80\x11\x10\x0e \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,5,,-1.0,,,,1441641514000,Low,Happy
25,AI Music,Dom V Markus mix,,25,109.0,192,48000,0.0,118.0,,2,2024-09-01T10:11:25.209Z,0,0,1,mp3,0.6894574800241292,0,0,C,b'\n\t\t\x00\x00\x00\x00\x00\x80]@\x12\x03\x08\xe6\x13',BeatGrid-2.0,0,rounding=V4|vamp_plugin_id=qm-tempotracker:0,b'\x08\x01\x1a\x06\x08\x80\x80\x01\x10\x0f\x1a\x06\x08\x80\x80\x07\x10\x0e\x1a\x06\x08\x80\x80\x0b\x10\x01\x1a\x06\x08\x80\x80O\x10\r\x1a\x06\x08\x80\x80]\x10\x16\x1a\x06\x08\x80\x80o\x10\x01\x1a\x07\x08\x80\x80\xa3\x02\x10\r\x1a\x07\x08\x80\x80\xb5\x02\x10\x01 \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,1,,-1.0,,,,1722692034000,Low,Happy
26,AI Music,Dom V Markus mix,,26,110.0,192,48000,0.0,125.0,,2,2024-09-01T10:11:25.210Z,0,0,1,mp3,0.7475204020080293,0,0,Am,b'\n\t\t\x00\x00\x00\x00\x00@_@\x12\x03\x08\xa1\x1a',BeatGrid-2.0,0,rounding=V4|vamp_plugin_id=qm-tempotracker:0,b'\x08\x16\x1a\x06\x08\x80\x80\x01\x10\r\x1a\x06\x08\x80\x80\x1d\x10\x0f\x1a\x06\x08\x80\x809\x10\x08\x1a\x06\x08\x80\x80U\x10\x16\x1a\x07\x08\x80\x80\x9b\x01\x10\x08\x1a\x07\x08\x80\x80\xa1\x01\x10\x11\x1a\x07\x08\x80\x80\xa3\x01\x10\x16\x1a\x07\x08\x80\x80\xa7\x01\x10\x11\x1a\x07\x08\x80\x80\xa9\x01\x10\x08\x1a\x07\x08\x80\x80\xb7\x01\x10\x11\x1a\x07\x08\x80\x80\xb9\x01\x10\x16\x1a\x07\x08\x80\x80\xfb\x01\x10\x08\x1a\x07\x08\x80\x80\xbd\x02\x10\n\x1a\x07\x08\x80\x80\xbf\x02\x10\x14\x1a\x07\x08\x80\xa2\xc2\x02\x10\n \x00',KeyMap-1.0,vamp_plugin_id=qm-keydetector:2,22,,-1.0,,,,1722689911000,Medium,Somber
